,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,accuracy,macro avg,weighted avg
precision,0.8214285714285714,0.896551724137931,0.7878787878787878,0.9642857142857143,0.9230769230769231,1.0,0.8461538461538461,0.9411764705882353,0.5172413793103449,0.9615384615384616,0.9473684210526315,0.96,1.0,0.9230769230769231,0.9310344827586207,1.0,1.0,1.0,0.8620689655172413,0.9655172413793104,1.0,0.8181818181818182,0.7,0.7916666666666666,0.8148148148148148,0.9655172413793104,0.631578947368421,0.9032258064516129,0.4838709677419355,0.4318181818181818,0.8,0.8333333333333334,0.78125,0.9655172413793104,0.8571428571428571,1.0,0.6129032258064516,0.8928571428571429,0.7142857142857143,0.7333333333333333,0.896551724137931,0.9583333333333334,0.64,0.9032258064516129,0.6571428571428571,0.8235294117647058,0.8709677419354839,1.0,0.5333333333333333,0.9259259259259259,0.9,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,0.7058823529411765,0.39473684210526316,0.5238095238095238,0.9310344827586207,0.5882352941176471,0.9,0.4594594594594595,0.5789473684210527,0.45714285714285713,0.4067796610169492,0.7586206896551724,0.8518518518518519,1.0,0.6896551724137931,0.6578947368421053,0.9666666666666667,0.9375,1.0,0.9655172413793104,0.90625,0.7878787878787878,0.7837837837837838,0.8846153846153846,0.9,0.8846153846153846,1.0,0.7272727272727273,0.9032258064516129,0.9375,0.9583333333333334,1.0,1.0,0.8181818181818182,0.75,0.8709677419354839,0.8787878787878788,1.0,0.9285714285714286,1.0,0.88,0.9629629629629629,0.896551724137931,1.0,0.9473684210526315,0.5757575757575758,0.7142857142857143,0.8666666666666667,0.6956521739130435,1.0,0.68,0.8928571428571429,0.9032258064516129,0.9375,0.7692307692307693,0.7142857142857143,0.8571428571428571,0.9655172413793104,0.7666666666666667,0.8666666666666667,0.88,0.6785714285714286,0.7272727272727273,0.9285714285714286,0.8888888888888888,0.9666666666666667,0.84375,0.9,0.8928571428571429,0.8846153846153846,0.6666666666666666,0.9655172413793104,0.7857142857142857,0.9090909090909091,0.75,0.7894736842105263,0.9655172413793104,0.9354838709677419,0.6875,0.8076923076923077,0.7058823529411765,0.896551724137931,0.7878787878787878,0.8787878787878788,0.782608695652174,0.7777777777777778,0.6,0.34615384615384615,0.625,0.5277777777777778,0.6410256410256411,1.0,0.9,0.8787878787878788,0.8,0.8064516129032258,0.76,0.8125,0.8666666666666667,0.9333333333333333,0.6206896551724138,0.90625,1.0,1.0,0.7631578947368421,0.8888888888888888,0.9642857142857143,1.0,0.9615384615384616,0.9310344827586207,0.9166666666666666,0.9230769230769231,0.8787878787878788,1.0,0.9655172413793104,0.84375,0.6764705882352942,0.7941176470588235,0.7586206896551724,1.0,0.7692307692307693,0.8928571428571429,0.6428571428571429,0.8387096774193549,0.84375,0.9285714285714286,0.8333333333333334,0.7878787878787878,0.9666666666666667,0.90625,0.9047619047619048,1.0,0.8529411764705882,1.0,1.0,0.967741935483871,0.8571428571428571,0.9642857142857143,0.7714285714285715,0.7241379310344828,0.7222222222222222,0.9642857142857143,0.8275862068965517,1.0,0.8334483948912669,0.842194084467188,0.841447890919421
recall,0.7666666666666667,0.8666666666666667,0.9285714285714286,0.9,0.8571428571428571,0.8181818181818182,0.9565217391304348,0.8888888888888888,0.5172413793103449,0.8333333333333334,0.6,0.9230769230769231,0.9333333333333333,0.8,0.9642857142857143,0.8928571428571429,0.9629629629629629,0.9333333333333333,0.8620689655172413,0.9655172413793104,1.0,0.6923076923076923,0.7241379310344828,0.8636363636363636,0.7333333333333333,0.9333333333333333,0.4,0.9655172413793104,0.5,0.6333333333333333,0.8,0.6521739130434783,0.8620689655172413,0.9655172413793104,1.0,0.9333333333333333,0.6551724137931034,0.8333333333333334,0.5172413793103449,0.7333333333333333,0.8666666666666667,0.7666666666666667,0.5517241379310345,0.9333333333333333,0.7666666666666667,0.9333333333333333,0.9,0.9666666666666667,0.5333333333333333,0.8333333333333334,0.9,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.8,0.9666666666666667,0.8571428571428571,0.5,0.3793103448275862,0.9,0.3333333333333333,0.9,0.5666666666666667,0.55,0.5333333333333333,0.8,0.7333333333333333,0.7666666666666667,0.9666666666666667,0.6666666666666666,0.8333333333333334,0.9666666666666667,1.0,1.0,0.9333333333333333,0.9666666666666667,0.896551724137931,0.9666666666666667,0.7666666666666667,0.9,0.7666666666666667,0.9666666666666667,0.6956521739130435,0.9333333333333333,1.0,0.7666666666666667,0.9333333333333333,0.7333333333333333,0.9,0.7,0.9,0.9666666666666667,0.9333333333333333,0.8666666666666667,0.8333333333333334,0.7586206896551724,0.8666666666666667,0.8666666666666667,0.9666666666666667,0.9,0.6333333333333333,0.8333333333333334,0.8666666666666667,0.8421052631578947,0.9333333333333333,0.5666666666666667,0.8333333333333334,0.9333333333333333,1.0,0.6666666666666666,0.8333333333333334,0.9,0.9333333333333333,0.7931034482758621,0.8666666666666667,0.7586206896551724,0.6333333333333333,0.8275862068965517,0.8666666666666667,0.8,0.9666666666666667,0.9,0.9310344827586207,0.8620689655172413,0.7666666666666667,0.8,0.9333333333333333,0.7333333333333333,0.6666666666666666,0.9,1.0,0.9333333333333333,0.9666666666666667,0.7333333333333333,0.7,0.8,0.8666666666666667,0.8666666666666667,0.9666666666666667,0.6206896551724138,0.4666666666666667,0.6,0.3,0.6666666666666666,0.6333333333333333,0.8333333333333334,0.9666666666666667,0.9310344827586207,0.9666666666666667,0.9523809523809523,0.8333333333333334,0.6551724137931034,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.6206896551724138,0.9666666666666667,1.0,0.9310344827586207,0.9666666666666667,0.8,0.9,1.0,0.8333333333333334,0.9310344827586207,0.7333333333333333,0.8275862068965517,1.0,0.8666666666666667,0.9333333333333333,0.9,0.7666666666666667,0.9,0.7333333333333333,1.0,1.0,0.9615384615384616,0.6206896551724138,0.8666666666666667,0.9310344827586207,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.95,1.0,0.9666666666666667,0.9310344827586207,0.8666666666666667,1.0,0.8,0.9,0.9,0.7,0.8666666666666667,0.9,0.8,0.9333333333333333,0.8334483948912669,0.8338459863358072,0.8334483948912669
f1-score,0.793103448275862,0.8813559322033899,0.8524590163934426,0.9310344827586207,0.888888888888889,0.9,0.8979591836734695,0.9142857142857143,0.5172413793103449,0.8928571428571429,0.7346938775510204,0.9411764705882353,0.9655172413793104,0.8571428571428571,0.9473684210526316,0.9433962264150945,0.9811320754716981,0.9655172413793104,0.8620689655172413,0.9655172413793104,1.0,0.7500000000000001,0.711864406779661,0.8260869565217391,0.7719298245614035,0.9491525423728815,0.4897959183673469,0.9333333333333333,0.4918032786885246,0.5135135135135135,0.8000000000000002,0.7317073170731708,0.8196721311475409,0.9655172413793104,0.923076923076923,0.9655172413793104,0.6333333333333333,0.8620689655172413,0.6000000000000001,0.7333333333333333,0.8813559322033899,0.8518518518518519,0.5925925925925927,0.9180327868852459,0.7076923076923077,0.8749999999999999,0.8852459016393444,0.983050847457627,0.5333333333333333,0.8771929824561403,0.9,0.983050847457627,0.983050847457627,0.8749999999999999,0.983050847457627,0.888888888888889,0.983050847457627,0.7741935483870968,0.4411764705882353,0.44,0.9152542372881356,0.42553191489361697,0.9,0.5074626865671642,0.5641025641025641,0.4923076923076923,0.5393258426966292,0.7457627118644068,0.8070175438596491,0.983050847457627,0.6779661016949153,0.7352941176470588,0.9666666666666667,0.967741935483871,1.0,0.9491525423728815,0.9354838709677419,0.8387096774193549,0.8656716417910447,0.8214285714285715,0.9,0.8214285714285715,0.983050847457627,0.711111111111111,0.9180327868852459,0.967741935483871,0.8518518518518519,0.9655172413793104,0.846153846153846,0.8571428571428572,0.7241379310344827,0.8852459016393444,0.9206349206349207,0.9655172413793104,0.896551724137931,0.9090909090909091,0.8148148148148148,0.912280701754386,0.8813559322033899,0.983050847457627,0.9230769230769231,0.6031746031746033,0.7692307692307692,0.8666666666666667,0.761904761904762,0.9655172413793104,0.6181818181818183,0.8620689655172413,0.9180327868852459,0.967741935483871,0.7142857142857142,0.7692307692307692,0.8780487804878048,0.9491525423728815,0.7796610169491527,0.8666666666666667,0.8148148148148148,0.6551724137931035,0.7741935483870968,0.896551724137931,0.8421052631578948,0.9666666666666667,0.870967741935484,0.9152542372881356,0.8771929824561403,0.8214285714285715,0.7272727272727272,0.9491525423728815,0.7586206896551724,0.7692307692307692,0.8181818181818182,0.8823529411764706,0.9491525423728815,0.9508196721311476,0.7096774193548386,0.75,0.7500000000000001,0.8813559322033899,0.8253968253968254,0.9206349206349207,0.6923076923076923,0.5833333333333334,0.6,0.32142857142857145,0.6451612903225806,0.5757575757575758,0.7246376811594204,0.983050847457627,0.9152542372881356,0.9206349206349207,0.8695652173913043,0.819672131147541,0.7037037037037037,0.8387096774193549,0.8666666666666667,0.9333333333333333,0.6206896551724138,0.9354838709677419,1.0,0.9642857142857143,0.8529411764705883,0.8421052631578948,0.9310344827586207,1.0,0.8928571428571429,0.9310344827586207,0.8148148148148148,0.8727272727272727,0.9354838709677419,0.9285714285714286,0.9491525423728815,0.870967741935484,0.71875,0.84375,0.7457627118644068,1.0,0.8695652173913044,0.9259259259259259,0.6315789473684211,0.8524590163934426,0.8852459016393444,0.896551724137931,0.8333333333333334,0.8253968253968254,0.9666666666666667,0.9354838709677419,0.9268292682926829,1.0,0.90625,0.9642857142857143,0.9285714285714286,0.9836065573770492,0.8275862068965518,0.9310344827586207,0.8307692307692307,0.711864406779661,0.7878787878787877,0.9310344827586207,0.8135593220338982,0.9655172413793104,0.8334483948912669,0.8343866918792031,0.8337940920059114
support,30.0,30.0,28.0,30.0,14.0,11.0,23.0,18.0,29.0,30.0,30.0,26.0,30.0,30.0,28.0,28.0,27.0,15.0,29.0,29.0,30.0,26.0,29.0,22.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,23.0,29.0,29.0,30.0,30.0,29.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,30.0,29.0,30.0,30.0,30.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,27.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,23.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,20.0,30.0,30.0,30.0,19.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,29.0,30.0,29.0,30.0,29.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,21.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,26.0,29.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.8334483948912669,5794.0,5794.0
